image,prediction,label
ISIC_0034524.jpg,benign,benign
ISIC_0034525.jpg,benign,benign
ISIC_0034527.jpg,malignant,benign
ISIC_0034528.jpg,malignant,benign
ISIC_0034529.jpg,malignant,malignant
ISIC_0034530.jpg,benign,benign
ISIC_0034532.jpg,benign,benign
ISIC_0034533.jpg,benign,benign
ISIC_0034534.jpg,malignant,benign
ISIC_0034537.jpg,malignant,benign
ISIC_0034540.jpg,malignant,benign
ISIC_0034541.jpg,benign,benign
ISIC_0034543.jpg,benign,benign
ISIC_0034544.jpg,benign,benign
ISIC_0034548.jpg,malignant,malignant
ISIC_0034551.jpg,malignant,benign
ISIC_0034552.jpg,malignant,benign
ISIC_0034553.jpg,malignant,benign
ISIC_0034556.jpg,malignant,benign
ISIC_0034557.jpg,benign,benign
ISIC_0034558.jpg,benign,benign
ISIC_0034559.jpg,malignant,benign
ISIC_0034560.jpg,malignant,benign
ISIC_0034562.jpg,malignant,benign
ISIC_0034563.jpg,malignant,benign
ISIC_0034564.jpg,benign,benign
ISIC_0034566.jpg,benign,benign
ISIC_0034567.jpg,malignant,benign
ISIC_0034568.jpg,malignant,benign
ISIC_0034569.jpg,benign,benign
ISIC_0034572.jpg,malignant,malignant
ISIC_0034573.jpg,malignant,malignant
ISIC_0034576.jpg,benign,benign
ISIC_0034577.jpg,benign,benign
ISIC_0034580.jpg,benign,benign
ISIC_0034581.jpg,benign,benign
ISIC_0034582.jpg,malignant,benign
ISIC_0034583.jpg,benign,benign
ISIC_0034584.jpg,malignant,malignant
ISIC_0034586.jpg,benign,benign
ISIC_0034587.jpg,malignant,benign
ISIC_0034589.jpg,benign,benign
ISIC_0034590.jpg,benign,benign
ISIC_0034592.jpg,malignant,benign
ISIC_0034593.jpg,malignant,benign
ISIC_0034594.jpg,malignant,benign
ISIC_0034595.jpg,malignant,malignant
ISIC_0034599.jpg,benign,benign
ISIC_0034600.jpg,malignant,benign
ISIC_0034601.jpg,malignant,benign
ISIC_0034602.jpg,malignant,benign
ISIC_0034603.jpg,benign,benign
ISIC_0034604.jpg,malignant,benign
ISIC_0034605.jpg,malignant,malignant
ISIC_0034607.jpg,benign,benign
ISIC_0034609.jpg,malignant,benign
ISIC_0034610.jpg,malignant,benign
ISIC_0034611.jpg,malignant,benign
ISIC_0034613.jpg,benign,benign
ISIC_0034616.jpg,malignant,benign
ISIC_0034617.jpg,malignant,benign
ISIC_0034619.jpg,malignant,benign
ISIC_0034620.jpg,malignant,benign
ISIC_0034621.jpg,benign,benign
ISIC_0034623.jpg,benign,benign
ISIC_0034624.jpg,benign,benign
ISIC_0034625.jpg,benign,benign
ISIC_0034626.jpg,malignant,benign
ISIC_0034627.jpg,malignant,benign
ISIC_0034628.jpg,malignant,malignant
ISIC_0034629.jpg,benign,benign
ISIC_0034630.jpg,malignant,malignant
ISIC_0034632.jpg,malignant,benign
ISIC_0034633.jpg,malignant,malignant
ISIC_0034634.jpg,malignant,benign
ISIC_0034635.jpg,malignant,benign
ISIC_0034636.jpg,malignant,benign
ISIC_0034637.jpg,benign,benign
ISIC_0034638.jpg,malignant,malignant
ISIC_0034639.jpg,malignant,benign
ISIC_0034640.jpg,malignant,benign
ISIC_0034641.jpg,benign,benign
ISIC_0034643.jpg,benign,benign
ISIC_0034644.jpg,malignant,malignant
ISIC_0034645.jpg,malignant,benign
ISIC_0034648.jpg,benign,benign
ISIC_0034649.jpg,malignant,benign
ISIC_0034650.jpg,malignant,malignant
ISIC_0034653.jpg,malignant,benign
ISIC_0034654.jpg,malignant,benign
ISIC_0034655.jpg,malignant,malignant
ISIC_0034657.jpg,benign,malignant
ISIC_0034658.jpg,malignant,benign
ISIC_0034659.jpg,benign,benign
ISIC_0034660.jpg,malignant,benign
ISIC_0034661.jpg,benign,benign
ISIC_0034662.jpg,malignant,benign
ISIC_0034664.jpg,malignant,benign
ISIC_0034665.jpg,malignant,benign
ISIC_0034667.jpg,malignant,benign
ISIC_0034668.jpg,benign,benign
ISIC_0034670.jpg,malignant,benign
ISIC_0034671.jpg,benign,benign
ISIC_0034672.jpg,benign,benign
ISIC_0034674.jpg,malignant,benign
ISIC_0034676.jpg,benign,benign
ISIC_0034677.jpg,malignant,benign
ISIC_0034678.jpg,malignant,benign
ISIC_0034680.jpg,malignant,benign
ISIC_0034681.jpg,benign,benign
ISIC_0034683.jpg,malignant,benign
ISIC_0034687.jpg,malignant,malignant
ISIC_0034688.jpg,benign,benign
ISIC_0034689.jpg,malignant,benign
ISIC_0034690.jpg,benign,benign
ISIC_0034696.jpg,benign,benign
ISIC_0034697.jpg,malignant,benign
ISIC_0034698.jpg,malignant,benign
ISIC_0034700.jpg,malignant,benign
ISIC_0034701.jpg,benign,benign
ISIC_0034702.jpg,benign,benign
ISIC_0034703.jpg,malignant,benign
ISIC_0034704.jpg,malignant,benign
ISIC_0034705.jpg,benign,benign
ISIC_0034707.jpg,benign,benign
ISIC_0034708.jpg,benign,benign
ISIC_0034709.jpg,malignant,benign
ISIC_0034713.jpg,malignant,malignant
ISIC_0034714.jpg,malignant,malignant
ISIC_0034715.jpg,benign,benign
ISIC_0034716.jpg,benign,benign
ISIC_0034717.jpg,benign,benign
ISIC_0034718.jpg,benign,benign
ISIC_0034721.jpg,malignant,benign
ISIC_0034722.jpg,malignant,benign
ISIC_0034725.jpg,benign,benign
ISIC_0034726.jpg,malignant,benign
ISIC_0034727.jpg,malignant,benign
ISIC_0034728.jpg,malignant,benign
ISIC_0034729.jpg,malignant,benign
ISIC_0034730.jpg,malignant,benign
ISIC_0034731.jpg,malignant,benign
ISIC_0034732.jpg,benign,benign
ISIC_0034735.jpg,benign,benign
ISIC_0034736.jpg,benign,benign
ISIC_0034737.jpg,malignant,malignant
ISIC_0034738.jpg,benign,benign
ISIC_0034740.jpg,benign,benign
ISIC_0034741.jpg,benign,benign
ISIC_0034742.jpg,benign,benign
ISIC_0034743.jpg,benign,benign
ISIC_0034744.jpg,benign,benign
ISIC_0034745.jpg,malignant,benign
ISIC_0034747.jpg,malignant,benign
ISIC_0034749.jpg,benign,benign
ISIC_0034752.jpg,malignant,benign
ISIC_0034754.jpg,benign,benign
ISIC_0034756.jpg,benign,benign
ISIC_0034757.jpg,benign,benign
ISIC_0034761.jpg,malignant,benign
ISIC_0034762.jpg,benign,benign
ISIC_0034763.jpg,malignant,benign
ISIC_0034764.jpg,malignant,malignant
ISIC_0034765.jpg,malignant,benign
ISIC_0034767.jpg,malignant,benign
ISIC_0034768.jpg,malignant,benign
ISIC_0034769.jpg,malignant,benign
