image,prediction,label
ISIC_0034524.jpg,malignant,benign
ISIC_0034525.jpg,malignant,benign
ISIC_0034527.jpg,malignant,benign
ISIC_0034528.jpg,malignant,benign
ISIC_0034529.jpg,malignant,malignant
ISIC_0034530.jpg,malignant,benign
ISIC_0034532.jpg,malignant,benign
ISIC_0034533.jpg,benign,benign
ISIC_0034534.jpg,malignant,benign
ISIC_0034537.jpg,malignant,benign
ISIC_0034540.jpg,malignant,benign
ISIC_0034541.jpg,malignant,benign
ISIC_0034543.jpg,malignant,benign
ISIC_0034544.jpg,malignant,benign
ISIC_0034548.jpg,malignant,malignant
ISIC_0034551.jpg,malignant,benign
ISIC_0034552.jpg,malignant,benign
ISIC_0034553.jpg,malignant,benign
ISIC_0034556.jpg,malignant,benign
ISIC_0034557.jpg,malignant,benign
ISIC_0034558.jpg,malignant,benign
ISIC_0034559.jpg,malignant,benign
ISIC_0034560.jpg,malignant,benign
ISIC_0034562.jpg,malignant,benign
ISIC_0034563.jpg,malignant,benign
ISIC_0034564.jpg,benign,benign
ISIC_0034566.jpg,malignant,benign
ISIC_0034567.jpg,malignant,benign
ISIC_0034568.jpg,malignant,benign
ISIC_0034569.jpg,malignant,benign
ISIC_0034572.jpg,malignant,malignant
ISIC_0034573.jpg,malignant,malignant
ISIC_0034576.jpg,malignant,benign
ISIC_0034577.jpg,malignant,benign
ISIC_0034580.jpg,malignant,benign
ISIC_0034581.jpg,benign,benign
ISIC_0034582.jpg,malignant,benign
ISIC_0034583.jpg,malignant,benign
ISIC_0034584.jpg,malignant,malignant
ISIC_0034586.jpg,malignant,benign
ISIC_0034587.jpg,malignant,benign
ISIC_0034589.jpg,malignant,benign
ISIC_0034590.jpg,malignant,benign
ISIC_0034592.jpg,malignant,benign
ISIC_0034593.jpg,malignant,benign
ISIC_0034594.jpg,malignant,benign
ISIC_0034595.jpg,malignant,malignant
ISIC_0034599.jpg,malignant,benign
ISIC_0034600.jpg,malignant,benign
ISIC_0034601.jpg,malignant,benign
ISIC_0034602.jpg,malignant,benign
ISIC_0034603.jpg,malignant,benign
ISIC_0034604.jpg,malignant,benign
ISIC_0034605.jpg,malignant,malignant
ISIC_0034607.jpg,benign,benign
ISIC_0034609.jpg,benign,benign
ISIC_0034610.jpg,malignant,benign
ISIC_0034611.jpg,malignant,benign
ISIC_0034613.jpg,malignant,benign
ISIC_0034616.jpg,benign,benign
ISIC_0034617.jpg,malignant,benign
ISIC_0034619.jpg,malignant,benign
ISIC_0034620.jpg,malignant,benign
ISIC_0034621.jpg,malignant,benign
ISIC_0034623.jpg,malignant,benign
ISIC_0034624.jpg,malignant,benign
ISIC_0034625.jpg,malignant,benign
ISIC_0034626.jpg,malignant,benign
ISIC_0034627.jpg,malignant,benign
ISIC_0034628.jpg,malignant,malignant
ISIC_0034629.jpg,malignant,benign
ISIC_0034630.jpg,malignant,malignant
ISIC_0034632.jpg,benign,benign
ISIC_0034633.jpg,malignant,malignant
ISIC_0034634.jpg,malignant,benign
ISIC_0034635.jpg,malignant,benign
ISIC_0034636.jpg,malignant,benign
ISIC_0034637.jpg,malignant,benign
ISIC_0034638.jpg,malignant,malignant
ISIC_0034639.jpg,malignant,benign
